EmployeeID,EmployeeName,Role,Phone,Email,BranchID,HireDate,SalaryINR,ManagerID,Status
1,Sai Sharma,Accountant,9044601761,saisharma2919@example.com,948,2024-04-07 00:00:00,29206.89,,Active
2,Sai Naidu,Merchandiser,8386846656,sainaidu1480@example.com,676,2020-12-13 00:00:00,41418.58,848,Active
3,Anil Shetty,Branch Manager,7553752615,anilshetty574@mail.com,603,2024-04-28 00:00:00,51355.95,,Inactive
4,Sirisha Das,Sales Representative,8163502158,sirishadas8319@example.com,830,2025-01-03 00:00:00,19931.91,426,Active
5,Arun Yadav,Driver,9486659816,arunyadav2901@demo.in,43,2025-05-01 00:00:00,44457.38,583,Active
6,Pooja Babu,Accountant,7545356434,poojababu6235@example.com,4,2025-01-17 00:00:00,53667.28,558,Active
7,Rohit Joshi,Accountant,7766584334,rohitjoshi4996@demo.in,875,2020-02-16 00:00:00,42908.41,677,Inactive
8,Anil Shetty,Sales Representative,7857005847,anilshetty7004@mail.com,800,2022-05-21 00:00:00,42753.72,954,Active
9,Suresh Yadav,Accountant,9600333431,sureshyadav9573@demo.in,722,2025-01-11 00:00:00,24631.6,241,Active
10,Sirisha Das,Branch Manager,9501290567,sirishadas4739@mail.com,495,2023-04-26 00:00:00,36818.13,,Inactive
11,Ramesh Nair,Driver,7723684324,rameshnair966@demo.in,481,2022-03-31 00:00:00,47967.91,597,Active
12,Rohit Naidu,Warehouse Associate,9868765291,rohitnaidu5153@demo.in,885,2022-12-25 00:00:00,52988.37,272,Active
13,Anil Reddy,Driver,8439114724,anilreddy6495@demo.in,715,2025-10-28 00:00:00,51505.29,681,Active
14,Suma Iyer,Sales Representative,7343657979,sumaiyer8928@mail.com,146,2024-01-15 00:00:00,46214.48,552,Active
15,Madhu Gupta,Delivery Helper,9998952958,madhugupta1122@example.com,381,2019-11-12 00:00:00,23139.42,562,Active
16,Harsha Shetty,Driver,8404406908,harshashetty3173@demo.in,653,2021-06-22 00:00:00,44278.95,614,Inactive
17,Harsha Patel,Delivery Helper,8838115846,harshapatel6427@mail.com,798,2022-02-22 00:00:00,37637.22,227,Inactive
18,Deepak Yadav,Delivery Helper,7813476655,deepakyadav5551@mail.com,320,2025-02-23 00:00:00,40415.15,820,Active
19,Naveen Sharma,Sales Representative,8544168428,naveensharma3646@example.com,257,2019-05-24 00:00:00,36868.06,785,Active
20,Keerthi Nair,Accountant,8474961197,keerthinair4286@demo.in,941,2020-10-05 00:00:00,17028.32,828,Active
21,Sirisha Chowdary,Sales Representative,7851200675,sirishachowdary8894@example.com,172,2023-04-28 00:00:00,46239.52,885,Active
22,Naveen Kumar,Merchandiser,8620569667,naveenkumar5192@demo.in,711,2020-12-14 00:00:00,38953.1,55,Active
23,Ravi Gupta,Driver,7663071971,ravigupta9375@mail.com,949,2025-03-03 00:00:00,39670.42,832,Active
24,Pooja Chowdary,Delivery Helper,9507695219,poojachowdary6819@mail.com,205,2023-10-14 00:00:00,30863.75,11,Active
25,Prasad Nair,Sales Representative,8856367702,prasadnair8762@mail.com,788,2023-01-28 00:00:00,35327.68,125,Inactive
26,Pavan Reddy,Delivery Helper,6326098903,pavanreddy3573@demo.in,45,2020-09-16 00:00:00,49781.81,900,Active
27,Anusha Das,Accountant,9416314635,anushadas2179@mail.com,422,2022-12-11 00:00:00,36994.7,622,Active
28,Arun Nair,Sales Representative,7462321543,arunnair2256@example.com,468,2023-03-31 00:00:00,22379.76,103,Active
29,Keerthi Verma,Warehouse Associate,6262173443,keerthiverma7504@demo.in,171,2019-02-25 00:00:00,40849.96,113,Active
30,Madhu Babu,Accountant,7373266460,madhubabu8474@demo.in,990,2022-04-01 00:00:00,34739.51,688,Inactive
31,Pooja Chowdary,Accountant,7154612852,poojachowdary427@demo.in,344,2023-12-26 00:00:00,20290.79,681,Inactive
32,Arun Shetty,Accountant,7767051201,arunshetty1616@demo.in,611,2023-06-03 00:00:00,52786.59,669,Active
33,Arun Patel,Accountant,7137515888,arunpatel5831@demo.in,585,2020-04-12 00:00:00,53491.95,996,Inactive
34,Karthik Yadav,Accountant,9768950437,karthikyadav7114@mail.com,45,2021-08-20 00:00:00,27318.45,385,Active
35,Pavan Verma,Branch Manager,7982380977,pavanverma2998@mail.com,199,2024-06-26 00:00:00,39143.28,,Inactive
36,Ravi Sharma,Warehouse Associate,9038188968,ravisharma593@demo.in,224,2024-12-13 00:00:00,42955.9,332,Active
37,Deepak Shetty,Branch Manager,8598781665,deepakshetty7579@mail.com,140,2023-11-30 00:00:00,27347.27,,Inactive
38,Lakshmi Shetty,Branch Manager,6948569862,lakshmishetty4993@mail.com,559,2021-04-05 00:00:00,16274.11,,Active
39,Mahesh Naidu,Sales Representative,7960265573,maheshnaidu6285@mail.com,138,2021-07-05 00:00:00,43693.92,166,Active
40,Manikanta Nair,Warehouse Associate,7523849073,manikantanair2786@example.com,191,2021-10-06 00:00:00,21406.87,80,Active
41,Teja Reddy,Accountant,7538434381,tejareddy4227@example.com,973,2021-02-20 00:00:00,29907.7,746,Active
