CustomerID,CustomerName,ShopName,Channel,Phone,Email,AddressLine,Area,City,Pincode,GSTIN,RegistrationDate,Status
1,Rohit Sharma,Annapurna Cool Drinks,HoReCa,7374437949,rohitsharma4107@example.com,"135, Nagar Siripuram",Siripuram,Visakhapatnam,53088,37FZVDX9855EGMY,2022-12-22 00:00:00,Inactive
2,Mahesh Reddy,Balaji General Stores,Retail,8532223776,maheshreddy9271@demo.in,"169, Street Siripuram",Siripuram,Visakhapatnam,53074,37BEGNV5429Y3Q4,2023-06-04 00:00:00,Active
3,Pooja Das,Venkateswara Beverages,HoReCa,6798673262,poojadas711@example.com,"157, Lane Marripalem",Marripalem,Visakhapatnam,53045,37ORIGQ8952S5DG,2022-09-17 00:00:00,Inactive
4,Ramesh Yadav,Sai Café,Wholesale,6306800138,rameshyadav1777@demo.in,"176, Rd Anakapalle",Anakapalle,Visakhapatnam,53053,37QOHEL4131KTO2,2020-12-25 00:00:00,Active
5,Pavan Joshi,Annapurna Beverages,Retail,6561380019,pavanjoshi6906@mail.com,"82, Street PM Palem",PM Palem,Visakhapatnam,53019,37THDJQ9460JLS0,2020-08-15 00:00:00,Inactive
6,Prasad Babu,Venkateswara Beverages,HoReCa,9288301908,prasadbabu8666@mail.com,"142, Rd Marripalem",Marripalem,Visakhapatnam,53053,37XODGR9468A7BA,2022-08-28 00:00:00,Inactive
7,Keerthi Joshi,Om Cool Drinks,Institutional,9808235790,keerthijoshi7147@example.com,"176, Lane Kancharapalem",Kancharapalem,Visakhapatnam,53017,37OUNYA8748EAR3,2024-06-17 00:00:00,Active
8,Sridhar Nair,Sri General Stores,Retail,6532409854,sridharnair5053@demo.in,"155, Nagar Gopalapatnam",Gopalapatnam,Visakhapatnam,53063,37ZYSVB1314V48H,2022-06-27 00:00:00,Active
9,Pooja Verma,Balaji General Stores,Institutional,8973775614,poojaverma4686@mail.com,"11, Street Gajuwaka",Gajuwaka,Visakhapatnam,53060,37YIQNA7982L09E,2020-01-26 00:00:00,Active
10,Manikanta Gupta,Sai Café,HoReCa,8933195805,manikantagupta5142@example.com,"129, Street Dwaraka Nagar",Dwaraka Nagar,Visakhapatnam,53001,37JZNYG0925LCUZ,2024-04-15 00:00:00,Active
11,Manikanta Babu,Sri Super Mart,Retail,8235276090,manikantababu4175@mail.com,"26, Rd Bheemunipatnam",Bheemunipatnam,Visakhapatnam,53010,37TUWLG1789K90Y,2022-10-24 00:00:00,Active
12,Deepak Babu,Sri Café,Retail,7783482168,deepakbabu8926@example.com,"33, Nagar Marripalem",Marripalem,Visakhapatnam,53057,37UWWEA7530NJID,2025-01-21 00:00:00,Active
13,Sridhar Iyer,Lakshmi General Stores,Wholesale,6493341473,sridhariyer7340@example.com,"138, Street Akkayyapalem",Akkayyapalem,Visakhapatnam,53087,37QLXCT6316YO9N,2021-07-14 00:00:00,Inactive
14,Anusha Naidu,Annapurna Super Mart,Retail,7326726939,anushanaidu7154@demo.in,"167, Rd Marripalem",Marripalem,Visakhapatnam,53027,37FVIBD1498OACB,2024-11-03 00:00:00,Active
15,Suma Das,Om Cool Drinks,Institutional,8936527023,sumadas8202@example.com,"10, Nagar Malkapuram",Malkapuram,Visakhapatnam,53002,37PVCUK5449A70Z,2021-08-02 00:00:00,Active
